No	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
–	PUNCT.Hyphen	-
Anos	NOUN.Masc.Plur	ano
Finais	ADJ.Masc.Plur	final
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
expectativa	NOUN.Fem.Sing	expectativa
é	AUX.Fin.Sing	ser
que	SCONJ	que
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
saibam	VERB.Fin.Plur	saber
planejar	VERB.Inf	planejar
e	CCONJ	e
construir	VERB.Inf	construir
relatórios	NOUN.Masc.Plur	relatório
de	ADP	de
pesquisas	NOUN.Fem.Plur	pesquisa
-	PUNCT.Hyphen	-
estatísticas	NOUN.Fem.Plur	estatística
descritivas	ADJ.Fem.Plur	descritivo
,	PUNCT.Comma	,
incluindo	VERB.Ger	incluir
medidas	NOUN.Fem.Plur	medida
de	ADP	de
tendência	NOUN.Fem.Sing	tendência
central	ADJ.Fem.Sing	central
e	CCONJ	e
construção	NOUN.Fem.Sing	construção
de	ADP	de
tabelas	NOUN.Fem.Plur	tabela
e	CCONJ	e
diversos	DET.Masc.Plur	diversos
tipos	NOUN.Masc.Plur	tipo
de	ADP	de
gráficos	NOUN.Masc.Plur	gráfico
.	PUNCT.Sent	.
Esse	DET.Masc.Sing	esse
planejamento	NOUN.Masc.Sing	planejamento
abrange	VERB.Fin.Sing	abranger
a	DET.Fem.Sing	o
definição	NOUN.Fem.Sing	definição
de	ADP	de
questões	NOUN.Fem.Plur	questão
relevantes	ADJ.Fem.Plur	relevante
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
população	NOUN.Fem.Sing	população
a	ADP	a
ser	AUX.Inf	ser
pesquisada	VERB.Part.Fem.Sing	pesquisar
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
decisão	NOUN.Fem.Sing	decisão
sobre	ADP	sobre
a	DET.Fem.Sing	o
necessidade	NOUN.Fem.Sing	necessidade
ou	CCONJ	ou
não	ADV	não
de	ADP	de
usar	VERB.Inf	usar
amostra	NOUN.Fem.Sing	amostra
e	CCONJ	e
,	PUNCT.Comma	,
quando	ADV	quando
for	AUX.Fin.Sing	ser
o	DET.Masc.Sing	o
caso	NOUN.Masc.Sing	caso
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
seleção	NOUN.Fem.Sing	seleção
de	ADP	de
seus	DET.Masc.Plur	seu
elementos	NOUN.Masc.Plur	elemento
por	ADP	por
meio	NOUN	meio
de	ADP	de
uma	DET.Fem.Sing	um
adequada	ADJ.Fem.Sing	adequado
técnica	NOUN.Fem.Sing	técnica
de	ADP	de
amostragem	NOUN.Fem.Sing	amostragem
.	PUNCT.Sent	.
