No	ADP_DET.Masc.Sing	em_o
Ensino	NOUN.Masc.Sing	ensino
Fundamental	ADJ.Fem.Sing	fundamental
–	PUNCT.Hyphen	-
Anos	NOUN.Masc.Plur	ano
Iniciais	ADJ.Masc.Plur	inicial
,	PUNCT.Comma	,
espera	VERB.Fin.Sing	esperar
-se	PRON	se
que	SCONJ	que
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
identifiquem	VERB.Fin.Plur	identificar
e	CCONJ	e
estabeleçam	VERB.Fin.Plur	estabelecer
pontos	NOUN.Masc.Plur	ponto
de	ADP	de
referência	NOUN.Fem.Sing	referência
para	ADP	para
a	DET.Fem.Sing	o
localização	NOUN.Fem.Sing	localização
e	CCONJ	e
o	DET.Masc.Sing	o
deslocamento	NOUN.Masc.Sing	deslocamento
de	ADP	de
objetos	NOUN.Masc.Plur	objeto
,	PUNCT.Comma	,
construam	VERB.Fin.Plur	construir
representações	NOUN.Fem.Plur	representação
de	ADP	de
espaços	NOUN.Masc.Plur	espaço
conhecidos	ADJ.Masc.Plur	conhecido
e	CCONJ	e
estimem	VERB.Fin.Plur	estimar
distâncias	NOUN.Fem.Plur	distância
,	PUNCT.Comma	,
usando	VERB.Ger	usar
,	PUNCT.Comma	,
como	ADP	como
suporte	NOUN.Masc.Sing	suporte
,	PUNCT.Comma	,
mapas	NOUN.Masc.Plur	mapa
(	PUNCT.Par.Left	(
em	ADP	em
papel	NOUN.Masc.Sing	papel
,	PUNCT.Comma	,
tablets	NOUN.Masc.Plur	<unknown>
ou	CCONJ	ou
smartphones	NOUN.Masc.Plur	<unknown>
)	PUNCT.Par.Right	)
,	PUNCT.Comma	,
croquis	NOUN.Masc.Plur	croqui
e	CCONJ	e
outras	DET.Fem.Plur	outro
representações	NOUN.Fem.Plur	representação
.	PUNCT.Sent	.
