TI	PRON.Masc.Sing	tu
12	NUM	12
.	PUNCT.Sent	.
Trabalho	NOUN.Masc.Sing	trabalho
,	PUNCT.Comma	,
Ciência	PROPN.Sing	Ciência
e	CCONJ	e
Tecnologia	PROPN.Sing	Tecnologia
Em	ADP	em
Trabalho	PROPN.Sing	Trabalho
,	PUNCT.Comma	,
Ciência	PROPN.Sing	Ciência
e	CCONJ	e
Tecnologia	PROPN.Sing	Tecnologia
os	DET.Masc.Plur	o
sujeitos	NOUN.Masc.Plur	sujeito
são	AUX.Fin.Plur	ser
considerados	VERB.Part.Masc.Plur	considerar
como	ADP	como
protagonistas	NOUN.Masc.Plur	protagonista
em	ADP	em
processos	NOUN.Masc.Plur	processo
que	PRON.Rel.Masc.Plur	que
garantam	VERB.Fin.Plur	garantir
o	DET.Masc.Sing	o
bem-estar	NOUN.Masc.Sing	bem-estar
social	ADJ.Masc.Sing	social
e	CCONJ	e
coletivo	ADJ.Masc.Sing	coletivo
,	PUNCT.Comma	,
a	ADP	a
partir	NOUN	partir
de	ADP	de
novos	ADJ.Masc.Plur	novo
caminhos	NOUN.Masc.Plur	caminho
e	CCONJ	e
políticas	NOUN.Fem.Plur	política
que	PRON.Rel.Fem.Plur	que
oportunizem	VERB.Fin.Plur	<unknown>
aos	ADP_DET.Masc.Plur	a_o
estudantes	NOUN.Masc.Plur	estudante
o	DET.Masc.Sing	o
direito	NOUN.Masc.Sing	direito
de	ADP	de
discutir	VERB.Inf	discutir
,	PUNCT.Comma	,
pensar	VERB.Inf	pensar
e	CCONJ	e
criar	VERB.Inf	criar
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
.	PUNCT.Sent	.
