TI	PRON.Masc.Sing	tu
08	NUM	@card@
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Saúde	NOUN.Fem.Sing	saúde
No	ADP_DET.Masc.Sing	em_o
documento	NOUN.Masc.Sing	documento
curricular	ADJ.Masc.Sing	curricular
do	ADP_DET.Masc.Sing	de_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
,	PUNCT.Comma	,
visando	VERB.Ger	visar
à	ADP_DET.Fem.Sing	a_o
formação	NOUN.Fem.Sing	formação
cidadã	ADJ.Fem.Sing	cidadão
de	ADP	de
forma	NOUN.Fem.Sing	forma
global	ADJ.Fem.Sing	global
e	CCONJ	e
abrangente	ADJ.Fem.Sing	abrangente
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
abordagem	NOUN.Fem.Sing	abordagem
do	ADP_DET.Masc.Sing	de_o
tema	NOUN.Masc.Sing	tema
Saúde	PROPN.Fem.Sing	Saúde
pretende	VERB.Fin.Sing	pretender
que	SCONJ	que
se	PRON.Masc.Plur	se
desenvolvam	VERB.Fin.Plur	desenvolver
atitudes	NOUN.Fem.Plur	atitude
necessárias	ADJ.Fem.Plur	necessário
a	ADP	a
uma	DET.Fem.Sing	um
vida	NOUN.Fem.Sing	vida
saudável	ADJ.Fem.Sing	saudável
,	PUNCT.Comma	,
nos	ADP_DET.Masc.Plur	em_o
diversos	ADJ.Masc.Plur	diverso
modelos	NOUN.Masc.Plur	modelo
de	ADP	de
família	NOUN.Fem.Sing	família
e	CCONJ	e
em	ADP	em
outros	DET.Masc.Plur	outro
ambientes	NOUN.Masc.Plur	ambiente
e	CCONJ	e
grupos	NOUN.Masc.Plur	grupo
sociais	ADJ.Masc.Plur	social
,	PUNCT.Comma	,
como	ADP	como
a	DET.Fem.Sing	o
escola	NOUN.Fem.Sing	escola
.	PUNCT.Sent	.
