TI	PRON.Masc.Sing	tu
15	NUM	15
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Ética	NOUN.Fem.Sing	ética
e	CCONJ	e
Cidadania	NOUN.Fem.Sing	cidadania
Um	DET.Masc.Sing	um
tema	NOUN.Masc.Sing	tema
emergente	ADJ.Masc.Sing	emergente
e	CCONJ	e
urgente	ADJ.Fem.Sing	urgente
de	ADP	de
reflexão	NOUN.Fem.Sing	reflexão
para	ADP	para
uma	DET.Fem.Sing	um
sociedade	NOUN.Fem.Sing	sociedade
cheia	ADJ.Fem.Sing	cheio
de	ADP	de
contradições	NOUN.Fem.Plur	contradição
como	ADP	como
a	DET.Fem.Sing	o
nossa	DET.Fem.Sing	nosso
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
atitudes	NOUN.Fem.Plur	atitude
dos	ADP_DET.Masc.Plur	de_o
indivíduos	NOUN.Masc.Plur	indivíduo
e	CCONJ	e
as	DET.Fem.Plur	o
relações	NOUN.Fem.Plur	relação
estabelecidas	ADJ.Fem.Plur	estabelecido
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
políticos	ADJ.Masc.Plur	político
,	PUNCT.Comma	,
sociais	ADJ.Masc.Plur	social
e	CCONJ	e
civis	ADJ.Masc.Plur	civil
merecem	VERB.Fin.Plur	merecer
e	CCONJ	e
precisam	VERB.Fin.Plur	precisar
ser	AUX.Inf	ser
atravessados	VERB.Part.Masc.Plur	atravessar
por	ADP	por
todas	DET.Fem.Plur	todo
as	DET.Fem.Plur	o
áreas	NOUN.Fem.Plur	área
de	ADP	de
conhecimento	NOUN.Masc.Sing	conhecimento
,	PUNCT.Comma	,
uma	DET.Fem.Sing	um
vez	NOUN.Fem.Sing	vez
que	PRON.Rel.Fem.Sing	que
milhões	NOUN.Masc.Plur	milhão
de	ADP	de
brasileiros	NOUN.Masc.Plur	brasileiro
vivem	VERB.Fin.Plur	viver
em	ADP	em
situação	NOUN.Fem.Sing	situação
de	ADP	de
pobreza	NOUN.Fem.Sing	pobreza
extrema	ADJ.Fem.Sing	extremo
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
taxa	NOUN.Fem.Sing	taxa
de	ADP	de
desemprego	NOUN.Masc.Sing	desemprego
aumenta	VERB.Fin.Sing	aumentar
no	ADP_DET.Masc.Sing	em_o
país	NOUN.Masc.Sing	país
,	PUNCT.Comma	,
há	VERB.Fin.Sing	haver
um	DET.Masc.Sing	um
baixo	ADJ.Masc.Sing	baixo
nível	NOUN.Masc.Sing	nível
de	ADP	de
alfabetização	NOUN.Fem.Sing	alfabetização
e	CCONJ	e
a	DET.Fem.Sing	o
violência	NOUN.Fem.Sing	violência
vivida	VERB.Part.Fem.Sing	viver
na	ADP_DET.Fem.Sing	em_o
sociedade	NOUN.Fem.Sing	sociedade
aumenta	VERB.Fin.Sing	aumentar
gradativamente	ADV	gradativamente
por	ADP	por
conta	NOUN.Fem.Sing	conta
dos	ADP_DET.Masc.Plur	de_o
radicalismos	NOUN.Masc.Plur	radicalismo
e	CCONJ	e
desrespeito	NOUN.Masc.Sing	desrespeito
à	ADP_DET.Fem.Sing	a_o
diversidade	NOUN.Fem.Sing	diversidade
.	PUNCT.Sent	.
