TI	PRON.Masc.Sing	tu
06	NUM	@card@
.	PUNCT.Sent	.
Educação	PROPN.Fem.Sing	Educação
em	ADP	em
Direitos	PROPN.Sing	Direitos
Humanos	PROPN.Sing	Humanos
A	DET.Sing	A
Educação	PROPN.Sing	Educação
em	ADP	em
Direitos	PROPN.Sing	Direitos
Humanos	PROPN.Sing	Humanos
permite	VERB.Fin.Sing	permitir
a	DET.Fem.Sing	o
formação	NOUN.Fem.Sing	formação
de	ADP	de
sujeitos	NOUN.Masc.Plur	sujeito
ativos	ADJ.Masc.Plur	ativo
ao	ADP_DET.Masc.Sing	a_o
trazer	VERB.Inf	trazer
conhecimentos	NOUN.Masc.Plur	conhecimento
que	PRON.Rel.Masc.Plur	que
questionam	VERB.Fin.Plur	questionar
e	CCONJ	e
refletem	VERB.Fin.Plur	refletir
a	DET.Fem.Sing	o
realidade	NOUN.Fem.Sing	realidade
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
histórica	ADJ.Fem.Sing	histórico
e	CCONJ	e
cultural	ADJ.Fem.Sing	cultural
em	ADP	em
que	SCONJ	que
estamos	AUX.Fin.Plur	estar
inseridos	VERB.Part.Masc.Plur	inserir
.	PUNCT.Sent	.
Assim	ADV	assim
,	PUNCT.Comma	,
atores	NOUN.Masc.Plur	ator
ativos	ADJ.Masc.Plur	ativo
e	CCONJ	e
participativos	ADJ.Masc.Plur	participativo
geram	VERB.Fin.Plur	gerar
transformação	NOUN.Fem.Sing	transformação
social	ADJ.Fem.Sing	social
e	CCONJ	e
desenvolvem	VERB.Fin.Plur	desenvolver
habilidades	NOUN.Fem.Plur	habilidade
,	PUNCT.Comma	,
potencialidades	NOUN.Fem.Plur	potencialidade
e	CCONJ	e
consciência	NOUN.Fem.Sing	consciência
crítica	ADJ.Fem.Sing	crítico
.	PUNCT.Sent	.
As	DET.Fem.Plur	o
diferenças	NOUN.Fem.Plur	diferença
sociais	ADJ.Fem.Plur	social
estão	AUX.Fin.Plur	estar
expostas	VERB.Part.Fem.Plur	expor
em	ADP	em
nossa	DET.Fem.Sing	nosso
sociedade	NOUN.Fem.Sing	sociedade
como	ADP	como
a	DET.Fem.Sing	o
miséria	NOUN.Fem.Sing	miséria
,	PUNCT.Comma	,
pobreza	NOUN.Fem.Sing	pobreza
extrema	ADJ.Fem.Sing	extremo
,	PUNCT.Comma	,
intolerância	NOUN.Fem.Sing	intolerância
religiosa	ADJ.Fem.Sing	religioso
,	PUNCT.Comma	,
étnica	ADJ.Fem.Sing	étnico
e	CCONJ	e
de	ADP	de
gênero	NOUN.Masc.Sing	gênero
,	PUNCT.Comma	,
condição	NOUN.Fem.Sing	condição
social	ADJ.Fem.Sing	social
e	CCONJ	e
deficiência	NOUN.Fem.Sing	deficiência
,	PUNCT.Comma	,
e	CCONJ	e
estabelecem	VERB.Fin.Plur	estabelecer
perigosos	ADJ.Masc.Plur	perigoso
estereótipos	NOUN.Masc.Plur	estereótipo
.	PUNCT.Sent	.
Diante	ADV	diante
dessa	ADP_DET.Fem.Sing	de_esse
realidade	NOUN.Fem.Sing	realidade
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Resolução	NOUN.Fem.Sing	resolução
CNE/CPNº	PROPN.Fem.Sing	<unknown>
1/2012	PROPN.Sing	@card@
(	PUNCT.Par.Left	(
BRASIL,2012	PROPN.Masc.Sing	BRASIL@card@
)	PUNCT.Par.Right	)
constitui	VERB.Fin.Sing	constituir
as	DET.Fem.Plur	o
Diretrizes	NOUN.Fem.Plur	diretriz
Nacionais	PROPN.Sing	Nacionais
para	ADP	para
a	DET.Fem.Sing	o
Educação	PROPN.Fem.Sing	Educação
em	ADP	em
Direitos	PROPN.Sing	Direitos
Humanos	PROPN.Sing	Humanos
,	PUNCT.Comma	,
como	ADP	como
tema	NOUN.Masc.Sing	tema
integrador	ADJ.Masc.Sing	integrador
que	PRON.Rel.Masc.Sing	que
permite	VERB.Fin.Sing	permitir
auto	NOUN.Masc.Sing	auto
transformação	NOUN.Fem.Sing	transformação
e	CCONJ	e
mudança	NOUN.Fem.Sing	mudança
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
política	ADJ.Fem.Sing	político
e	CCONJ	e
econômica	ADJ.Fem.Sing	econômico
.	PUNCT.Sent	.
