TI	PRON.Masc.Sing	tu
05	NUM	@card@
.	PUNCT.Sent	.
Processo	NOUN.Masc.Sing	processo
de	ADP	de
Envelhecimento	NOUN.Masc.Sing	envelhecimento
,	PUNCT.Comma	,
Respeito	NOUN.Masc.Sing	respeito
e	CCONJ	e
Valorização	NOUN.Fem.Sing	valorização
do	ADP_DET.Masc.Sing	de_o
Idoso	ADJ.Masc.Sing	idoso
Ao	ADP	ao
abordar	VERB.Inf	abordar
o	DET.Masc.Sing	o
Processo	PROPN.Sing	Processo
de	ADP	de
Envelhecimento	NOUN.Masc.Sing	envelhecimento
,	PUNCT.Comma	,
Respeito	NOUN.Masc.Sing	respeito
e	CCONJ	e
Valorização	NOUN.Fem.Sing	valorização
do	ADP_DET.Masc.Sing	de_o
Idoso	ADJ.Masc.Sing	idoso
,	PUNCT.Comma	,
busca	VERB.Fin.Sing	buscar
-se	PRON.Fem.Sing	se
uma	DET.Fem.Sing	um
educação	NOUN.Fem.Sing	educação
que	PRON.Rel.Fem.Sing	que
cultiva	VERB.Fin.Sing	cultivar
cidadãos	NOUN.Masc.Plur	cidadão
participativos	ADJ.Masc.Plur	participativo
e	CCONJ	e
críticos	NOUN.Masc.Plur	crítico
à	ADP_DET.Fem.Sing	a_o
sociedade	NOUN.Fem.Sing	sociedade
do	ADP_DET.Masc.Sing	de_o
tempo	NOUN.Masc.Sing	tempo
presente	ADJ.Masc.Sing	presente
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
medida	NOUN.Fem.Sing	medida
em	ADP	em
que	SCONJ	que
o	DET.Masc.Sing	o
envelhecimento	NOUN.Masc.Sing	envelhecimento
vem	AUX.Fin.Sing	vir
se	PRON	se
cristalizando	VERB.Part	cristalizar
como	ADP	como
problema	NOUN.Masc.Sing	problema
social	ADJ.Masc.Sing	social
e	CCONJ	e
político	ADJ.Masc.Sing	político
no	ADP_DET.Masc.Sing	em_o
país	NOUN.Masc.Sing	país
e	CCONJ	e
no	ADP_DET.Masc.Sing	em_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
.	PUNCT.Sent	.
Foram	AUX.Fin.Plur	ser
desenvolvidos	VERB.Part.Masc.Plur	desenvolver
meios	NOUN.Masc.Plur	meio
legais	ADJ.Masc.Plur	legal
para	ADP	para
garantir	VERB.Inf	garantir
a	DET.Fem.Sing	o
dignidade	NOUN.Fem.Sing	dignidade
humana	ADJ.Fem.Sing	humano
,	PUNCT.Comma	,
com	ADP	com
vistas	NOUN.Fem.Plur	vista
à	ADP_DET.Fem.Sing	a_o
ampliação	NOUN.Fem.Sing	ampliação
de	ADP	de
direitos	NOUN.Masc.Plur	direito
à	ADP_DET.Fem.Sing	a_o
pessoa	NOUN.Fem.Sing	pessoa
idosa	ADJ.Fem.Sing	idoso
e	CCONJ	e
proteção	NOUN.Fem.Sing	proteção
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
como	ADP	como
o	DET.Masc.Sing	o
combate	NOUN.Masc.Sing	combate
à	ADP_DET.Fem.Sing	a_o
violência	NOUN.Fem.Sing	violência
,	PUNCT.Comma	,
preconceito	NOUN.Masc.Sing	preconceito
e	CCONJ	e
qualidade	NOUN.Fem.Sing	qualidade
de	ADP	de
vida	NOUN.Fem.Sing	vida
.	PUNCT.Sent	.
