TI	PRON.Masc.Sing	tu
16	NUM	16
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Gênero	NOUN.Masc.Sing	gênero
,	PUNCT.Comma	,
Sexualidade	NOUN.Fem.Sing	sexualidade
,	PUNCT.Comma	,
Poder	PROPN.Sing	Poder
e	CCONJ	e
Sociedade	PROPN.Fem.Sing	Sociedade
A	DET.Fem.Sing	o
adição	NOUN.Fem.Sing	adição
desse	ADP_DET.Masc.Sing	de_esse
tema	NOUN.Masc.Sing	tema
decorre	VERB.Fin.Sing	decorrer
de	ADP	de
o	DET.Masc.Sing	o
fato	NOUN.Masc.Sing	fato
da	ADP_DET.Fem.Sing	de_o
sociedade	NOUN.Fem.Sing	sociedade
brasileira	ADJ.Fem.Sing	brasileiro
carregar	VERB.Inf	carregar
uma	DET.Fem.Sing	um
marca	NOUN.Fem.Sing	marca
autoritária	ADJ.Fem.Sing	autoritário
:	PUNCT.Colon	:
já	ADV	já
foi	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
sociedade	NOUN.Fem.Sing	sociedade
escravocrata	ADJ.Fem.Sing	escravocrata
,	PUNCT.Comma	,
além	ADV	além
de	ADP	de
ter	VERB.Inf	ter
uma	DET.Fem.Sing	um
larga	ADJ.Fem.Sing	largo
tradição	NOUN.Fem.Sing	tradição
de	ADP	de
relações	NOUN.Fem.Plur	relação
políticas	ADJ.Fem.Plur	político
paternalistas	ADJ.Fem.Plur	paternalista
e	CCONJ	e
clientelistas	ADJ.Fem.Plur	clientelista
,	PUNCT.Comma	,
com	ADP	com
longos	ADJ.Masc.Plur	longo
períodos	NOUN.Masc.Plur	período
de	ADP	de
governos	NOUN.Masc.Plur	governo
não	ADV	não
democráticos	ADJ.Masc.Plur	democrático
.	PUNCT.Sent	.
Até	ADV	até
hoje	ADV	hoje
é	AUX.Fin.Sing	ser
uma	DET.Fem.Sing	um
sociedade	NOUN.Fem.Sing	sociedade
marcada	VERB.Part.Fem.Sing	marcar
por	ADP	por
relações	NOUN.Fem.Plur	relação
sociais	ADJ.Fem.Plur	social
hierarquizadas	VERB.Part.Fem.Plur	hierarquizar
e	CCONJ	e
por	ADP	por
privilégios	NOUN.Masc.Plur	privilégio
que	PRON.Rel.Masc.Plur	que
reproduzem	VERB.Fin.Plur	reproduzir
um	DET.Masc.Sing	um
altíssimo	ADJ.Masc.Sing	alto
nível	NOUN.Masc.Sing	nível
de	ADP	de
desigualdade	NOUN.Fem.Sing	desigualdade
,	PUNCT.Comma	,
injustiça	NOUN.Fem.Sing	injustiça
e	CCONJ	e
exclusão	NOUN.Fem.Sing	exclusão
social	ADJ.Fem.Sing	social
.	PUNCT.Sent	.
