TI	PRON.Masc.Sing	tu
10	NUM	10
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Educação	PROPN.Fem.Sing	Educação
para	PROPN	para
o	DET.Sing	o
Consumo	PROPN.Sing	Consumo
Consciente	ADJ.Masc.Sing	consciente
Quanto	ADV	quanto
ao	ADP_DET.Masc.Sing	a_o
tema	NOUN.Masc.Sing	tema
Educação	PROPN.Fem.Sing	Educação
para	ADP	para
o	PROPN.Sing	o
Consumo	PROPN.Sing	Consumo
,	PUNCT.Comma	,
adicionamos	VERB.Fin.Plur	adicionar
a	DET.Fem.Sing	o
palavra	NOUN.Fem.Sing	palavra
‘	VERB.Fin.Sing	<unknown>
Consciente	ADJ.Masc.Sing	consciente
’	NOUN.Masc.Sing	<unknown>
,	PUNCT.Comma	,
para	ADP	para
marcar	VERB.Inf	marcar
criticamente	ADV	criticamente
a	DET.Fem.Sing	o
percepção	NOUN.Fem.Sing	percepção
de	ADP	de
uma	DET.Fem.Sing	um
sociedade	NOUN.Fem.Sing	sociedade
que	PRON.Rel.Fem.Sing	que
alimenta	VERB.Fin.Sing	alimentar
o	DET.Masc.Sing	o
consumo	NOUN.Masc.Sing	consumo
de	ADP	de
forma	NOUN.Fem.Sing	forma
descontrolada	VERB.Part.Fem.Sing	descontrolar
e	CCONJ	e
não	ADV	não
pratica	VERB.Fin.Sing	praticar
de	ADP	de
maneira	NOUN.Fem.Sing	maneira
efetiva	ADJ.Fem.Sing	efetivo
programas	NOUN.Masc.Plur	programa
que	PRON.Rel.Masc.Plur	que
diminuam	VERB.Fin.Plur	diminuir
os	DET.Masc.Plur	o
desperdícios	NOUN.Masc.Plur	desperdício
e	CCONJ	e
os	DET.Masc.Plur	o
resíduos	NOUN.Masc.Plur	resíduo
dessa	ADP_DET.Fem.Sing	de_esse
prática	NOUN.Fem.Sing	prática
sócio	NOUN.Masc.Sing	sócio
,	PUNCT.Comma	,
emocional	ADJ.Fem.Sing	emocional
,	PUNCT.Comma	,
alimentar	ADJ.Fem.Sing	alimentar
,	PUNCT.Comma	,
físico	ADJ.Masc.Sing	físico
e	CCONJ	e
material	NOUN.Masc.Sing	material
na	ADP_DET.Fem.Sing	em_o
sociedade	NOUN.Fem.Sing	sociedade
do	ADP_DET.Masc.Sing	de_o
século	NOUN.Masc.Sing	século
XXI	ADJ.Masc.Sing	xxi
.	PUNCT.Sent	.
