TI	PRON.Masc.Sing	tu
11	NUM	11
.	PUNCT.Sent	.
Educação	NOUN.Fem.Sing	educação
Financeira	ADJ.Fem.Sing	financeiro
e	CCONJ	e
Fiscal	PROPN.Sing	Fiscal
O	DET.Masc.Sing	o
tema	NOUN.Masc.Sing	tema
Educação	PROPN.Fem.Sing	Educação
Financeira	ADJ.Fem.Sing	financeiro
e	CCONJ	e
Fiscal	PROPN.Sing	Fiscal
consiste	VERB.Fin.Sing	consistir
na	ADP_DET.Fem.Sing	em_o
perspectiva	NOUN.Fem.Sing	perspectiva
de	ADP	de
incentivar	VERB.Inf	incentivar
os	DET.Masc.Plur	o
estudantes	NOUN.Masc.Plur	estudante
a	PRON.Fem.Sing	ela
desenvolverem	VERB.Fin.Plur	desenvolver
a	DET.Fem.Sing	o
prática	NOUN.Fem.Sing	prática
do	ADP_DET.Masc.Sing	de_o
consumo	NOUN.Masc.Sing	consumo
consciente	ADJ.Masc.Sing	consciente
,	PUNCT.Comma	,
através	ADV	através
de	ADP	de
comportamentos	NOUN.Masc.Plur	comportamento
financeiros	ADJ.Masc.Plur	financeiro
autônomos	ADJ.Masc.Plur	autônomo
e	CCONJ	e
saudáveis	ADJ.Masc.Plur	saudável
,	PUNCT.Comma	,
como	ADP	como
construir	VERB.Inf	construir
uma	DET.Fem.Sing	um
vida	NOUN.Fem.Sing	vida
mais	ADV	mais
equilibrada	ADJ.Fem.Sing	equilibrado
e	CCONJ	e
sustentável	ADJ.Fem.Sing	sustentável
sob	ADP	sob
o	DET.Masc.Sing	o
ponto	NOUN.Masc.Sing	ponto
de	ADP	de
vista	NOUN	vista
financeiro	ADJ.Masc.Sing	financeiro
,	PUNCT.Comma	,
afetando	VERB.Part	afetar
diretamente	ADV	diretamente
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
do	ADP_DET.Masc.Sing	de_o
estudante	NOUN.Masc.Sing	estudante
e	CCONJ	e
da	ADP_DET.Fem.Sing	de_o
comunidade	NOUN.Fem.Sing	comunidade
local	ADJ.Fem.Sing	local
.	PUNCT.Sent	.
Dessa	ADP_DET.Fem.Sing	de_esse
forma	NOUN.Fem.Sing	forma
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
futuras	ADJ.Fem.Plur	futuro
gerações	NOUN.Fem.Plur	geração
serão	AUX.Fin.Plur	ser
beneficiadas	VERB.Part.Fem.Plur	beneficiar
.	PUNCT.Sent	.
