TI	PRON.Masc.Sing	tu
14	NUM	14
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Trabalho	NOUN.Masc.Sing	trabalho
e	CCONJ	e
Relações	PROPN.Sing	Relações
de	ADP	de
Poder	PROPN.Sing	Poder
Nessa	ADP_DET.Fem.Sing	em_esse
concepção	NOUN.Fem.Sing	concepção
,	PUNCT.Comma	,
surge	VERB.Fin.Sing	surgir
o	DET.Masc.Sing	o
tema	NOUN.Masc.Sing	tema
Trabalho	PROPN.Masc.Sing	Trabalho
e	CCONJ	e
Relações	PROPN.Sing	Relações
de	ADP	de
Poder	PROPN.Sing	Poder
,	PUNCT.Comma	,
norteador	ADJ.Masc.Sing	norteador
de	ADP	de
reflexões	NOUN.Fem.Plur	reflexão
críticas	ADJ.Fem.Plur	crítico
que	PRON.Rel.Fem.Plur	que
ressaltem	VERB.Fin.Plur	ressaltar
as	DET.Fem.Plur	o
relações	NOUN.Fem.Plur	relação
de	ADP	de
poder	NOUN.Masc.Sing	poder
e	CCONJ	e
de	ADP	de
dominação	NOUN.Fem.Sing	dominação
no	ADP_DET.Masc.Sing	em_o
processo	NOUN.Masc.Sing	processo
de	ADP	de
socialização	NOUN.Fem.Sing	socialização
e	CCONJ	e
hierarquização	NOUN.Fem.Sing	hierarquização
no	ADP_DET.Masc.Sing	em_o
mundo	NOUN.Masc.Sing	mundo
do	ADP_DET.Masc.Sing	de_o
trabalho	NOUN.Masc.Sing	trabalho
.	PUNCT.Sent	.
No	ADP_DET.Masc.Sing	em_o
espaço	NOUN.Masc.Sing	espaço
da	ADP_DET.Fem.Sing	de_o
casa	NOUN.Fem.Sing	casa
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
produção	NOUN.Fem.Sing	produção
agrícola	ADJ.Fem.Sing	agrícola
,	PUNCT.Comma	,
na	ADP_DET.Fem.Sing	em_o
cidade	NOUN.Fem.Sing	cidade
,	PUNCT.Comma	,
nas	ADP_DET.Fem.Plur	em_o
indústrias	NOUN.Fem.Plur	indústria
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
trabalho	NOUN.Masc.Sing	trabalho
formal	ADJ.Masc.Sing	formal
e	CCONJ	e
informal	ADJ.Masc.Sing	informal
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
uso	NOUN.Masc.Sing	uso
de	ADP	de
tecnologias	NOUN.Fem.Plur	tecnologia
,	PUNCT.Comma	,
no	ADP_DET.Masc.Sing	em_o
mercado	NOUN.Masc.Sing	mercado
e	CCONJ	e
na	ADP_DET.Fem.Sing	em_o
sociedade	NOUN.Fem.Sing	sociedade
em	ADP	em
geral	NOUN	geral
,	PUNCT.Comma	,
as	DET.Fem.Plur	o
relações	NOUN.Fem.Plur	relação
humanas	ADJ.Fem.Plur	humano
compreendem	VERB.Fin.Plur	compreender
um	DET.Masc.Sing	um
conjunto	NOUN.Masc.Sing	conjunto
de	ADP	de
atitudes	NOUN.Fem.Plur	atitude
que	PRON.Rel.Fem.Plur	que
estruturam	VERB.Fin.Plur	estruturar
relações	NOUN.Fem.Plur	relação
de	ADP	de
poder	NOUN.Masc.Sing	poder
e	CCONJ	e
de	ADP	de
desigualdade	NOUN.Fem.Sing	desigualdade
,	PUNCT.Comma	,
e	CCONJ	e
que	PRON.Rel.Masc.Plur	que
precisam	VERB.Fin.Plur	precisar
ser	AUX.Inf	ser
analisadas	VERB.Part.Fem.Plur	analisar
e	CCONJ	e
enfrentadas	VERB.Part.Fem.Plur	enfrentar
de	ADP	de
forma	NOUN.Fem.Sing	forma
crítica	ADJ.Fem.Sing	crítico
.	PUNCT.Sent	.
