TI	PRON.Masc.Sing	tu
07	NUM	@card@
.	PUNCT.Sent	.
Educação	NOUN.Fem.Sing	educação
das	ADP_DET.Fem.Plur	de_o
Relações	PROPN.Fem.Plur	Relações
Étnico-Raciais	PROPN.Sing	<unknown>
e	CCONJ	e
Ensino	PROPN.Sing	Ensino
de	ADP	de
História	PROPN.Sing	História
e	CCONJ	e
Cultura	PROPN.Sing	Cultura
Afro-Brasileira	PROPN.Sing	Afro-Brasileira
,	PUNCT.Comma	,
Africana	PROPN.Sing	Africana
e	CCONJ	e
Indígena	ADJ.Masc.Sing	indígena
O	DET.Masc.Sing	o
Brasil	PROPN.Masc.Sing	Brasil
,	PUNCT.Comma	,
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
de	ADP	de
sua	DET.Fem.Sing	seu
história	NOUN.Fem.Sing	história
,	PUNCT.Comma	,
estabeleceu	VERB.Fin.Sing	estabelecer
um	DET.Masc.Sing	um
modelo	NOUN.Masc.Sing	modelo
de	ADP	de
desenvolvimento	NOUN.Masc.Sing	desenvolvimento
excludente	ADJ.Masc.Sing	excludente
,	PUNCT.Comma	,
reconhecendo	VERB.Ger	reconhecer
a	DET.Fem.Sing	o
existência	NOUN.Fem.Sing	existência
de	ADP	de
preconceitos	NOUN.Masc.Plur	preconceito
étnicos	ADJ.Masc.Plur	étnico
.	PUNCT.Sent	.
É	AUX.Fin.Sing	ser
tempo	NOUN.Masc.Sing	tempo
de	ADP	de
valorizar	VERB.Inf	valorizar
,	PUNCT.Comma	,
divulgar	VERB.Inf	divulgar
e	CCONJ	e
respeitar	VERB.Inf	respeitar
os	DET.Masc.Plur	o
processos	NOUN.Masc.Plur	processo
históricos	ADJ.Masc.Plur	histórico
de	ADP	de
resistência	NOUN.Fem.Sing	resistência
negra	ADJ.Fem.Sing	negro
,	PUNCT.Comma	,
indígena	ADJ.Fem.Sing	indígena
e	CCONJ	e
de	ADP	de
seus	DET.Masc.Plur	seu
descendentes	ADJ.Masc.Plur	descendente
.	PUNCT.Sent	.
Estabelecer	VERB.Inf	estabelecer
o	DET.Masc.Sing	o
tema	NOUN.Masc.Sing	tema
integrador	ADJ.Masc.Sing	integrador
Educação	PROPN.Fem.Sing	Educação
das	ADP_DET.Fem.Plur	de_o
Relações	PROPN.Fem.Plur	Relações
Étnico-Raciais	PROPN.Sing	<unknown>
e	CCONJ	e
Ensino	PROPN.Sing	Ensino
de	ADP	de
História	PROPN.Sing	História
e	CCONJ	e
Cultura	PROPN.Sing	Cultura
Afro-Brasileira	PROPN.Sing	Afro-Brasileira
,	PUNCT.Comma	,
Africana	PROPN.Sing	Africana
e	CCONJ	e
Indígena	ADJ.Masc.Sing	indígena
significa	VERB.Fin.Sing	significar
buscar	VERB.Inf	buscar
compreender	VERB.Inf	compreender
valores	NOUN.Masc.Plur	valor
e	CCONJ	e
lutas	NOUN.Fem.Plur	luta
dessas	ADP_PRON.Fem.Plur	de_esse
etniase	VERB.Fin.Sing	<unknown>
refletir	VERB.Inf	refletir
com	ADP	com
sensibilidade	NOUN.Fem.Sing	sensibilidade
as	DET.Fem.Plur	o
formas	NOUN.Fem.Plur	forma
de	ADP	de
desqualificação	NOUN.Fem.Sing	desqualificação
criadas	VERB.Part.Fem.Plur	criar
pelas	ADP_DET.Fem.Plur	por_o
classes	NOUN.Fem.Plur	classe
dominantes	ADJ.Fem.Plur	dominante
ao	ADP_DET.Masc.Sing	a_o
longo	NOUN	longo
do	ADP_DET.Masc.Sing	de_o
tempo	NOUN.Masc.Sing	tempo
.	PUNCT.Sent	.
Buscando	VERB.Ger	buscar
compreender	VERB.Inf	compreender
as	DET.Fem.Plur	o
relações	NOUN.Fem.Plur	relação
étnico-sociais	ADJ.Fem.Plur	étnico-social
,	PUNCT.Comma	,
rumo	ADV	rumo
à	ADP_DET.Fem.Sing	a_o
reparação	NOUN.Fem.Sing	reparação
histórica	ADJ.Fem.Sing	histórico
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Lei	NOUN.Fem.Sing	lei
Nº	NOUN.Masc.Sing	nº
11.645	NUM	@card@
,	PUNCT.Comma	,
de	ADP	de
2008	NUM	@card@
,	PUNCT.Comma	,
inclui	VERB.Fin.Sing	incluir
no	ADP_DET.Masc.Sing	em_o
currículo	NOUN.Masc.Sing	currículo
oficial	ADJ.Masc.Sing	oficial
da	ADP_DET.Fem.Sing	de_o
rede	NOUN.Fem.Sing	rede
de	ADP	de
ensino	NOUN.Masc.Sing	ensino
do	ADP_DET.Masc.Sing	de_o
país	NOUN.Masc.Sing	país
a	DET.Fem.Sing	o
obrigatoriedade	NOUN.Fem.Sing	obrigatoriedade
da	ADP_DET.Fem.Sing	de_o
temática	ADJ.Fem.Sing	temático
“	PUNCT.Quot	“
História	PROPN.Fem.Sing	História
e	CCONJ	e
Cultura	PROPN.Fem.Sing	Cultura
Afro-Brasileira	PROPN.Sing	Afro-Brasileira
e	CCONJ	e
Indígena	ADJ.Fem.Sing	indígena
”	PUNCT.Quot	”
.	PUNCT.Sent	.
