TI	PRON.Masc.Sing	tu
13	NUM	13
.	PUNCT.Sent	.
/ES	VERB.Fin.Sing	<unknown>
Diversidade	NOUN.Fem.Sing	diversidade
Cultural	PROPN.Sing	Cultural
,	PUNCT.Comma	,
Religiosa	ADJ.Fem.Sing	religioso
e	CCONJ	e
Étnica	ADJ.Fem.Sing	étnico
Para	ADP	para
que	SCONJ	que
a	DET.Fem.Sing	o
tolerância	NOUN.Fem.Sing	tolerância
e	CCONJ	e
o	DET.Masc.Sing	o
respeito	NOUN.Masc.Sing	respeito
as	DET.Fem.Plur	o
diversidades	NOUN.Fem.Plur	diversidade
sejam	AUX.Fin.Plur	ser
promovidos	VERB.Part.Masc.Plur	promover
,	PUNCT.Comma	,
se	SCONJ	se
faz	VERB.Fin.Sing	fazer
necessária	ADJ.Fem.Sing	necessário
a	DET.Fem.Sing	o
presença	NOUN.Fem.Sing	presença
do	ADP_DET.Masc.Sing	de_o
tema	NOUN.Masc.Sing	tema
Diversidade	NOUN.Fem.Sing	diversidade
Cultural	PROPN.Sing	Cultural
,	PUNCT.Comma	,
Religiosa	ADJ.Fem.Sing	religioso
e	CCONJ	e
Étnica	ADJ.Fem.Sing	étnico
.	PUNCT.Sent	.
Arnaldo	PROPN.Masc.Sing	Arnaldo
Antunes	PROPN.Sing	Antunes
(	PUNCT.Par.Left	(
1996	NUM	1996
)	PUNCT.Par.Right	)
afirma	VERB.Fin.Sing	afirmar
musicalmente	ADV	musicalmente
que	SCONJ	que
“	PUNCT.Quot	“
aqui	ADV	aqui
somos	AUX.Fin.Plur	ser
mestiços	ADJ.Masc.Plur	mestiço
,	PUNCT.Comma	,
mulatos	ADJ.Masc.Plur	mulato
,	PUNCT.Comma	,
cafuzos	ADJ.Masc.Plur	cafuzo
,	PUNCT.Comma	,
pardos	ADJ.Masc.Plur	pardo
,	PUNCT.Comma	,
mamelucos	NOUN.Masc.Plur	mameluco
,	PUNCT.Comma	,
sararás-crioulos	NOUN.Masc.Plur	sararás-crioulo
,	PUNCT.Comma	,
guaranisseis	ADJ.Fem.Plur	guaranissei
e	CCONJ	e
judárabes	ADJ.Fem.Plur	judárabe
.	PUNCT.Sent	.
rientupis	NOUN.Masc.Plur	rientupi
,	PUNCT.Comma	,
orientupisameriquítalos	NOUN.Masc.Plur	orientupisameriquítalo
,	PUNCT.Comma	,
lusos	NOUN.Masc.Plur	luso
,	PUNCT.Comma	,
nipos	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
caboclos	NOUN.Masc.Plur	caboclo
,	PUNCT.Comma	,
orientupisiberibárbaros	NOUN.Masc.Plur	orientupisiberibárbaro
,	PUNCT.Comma	,
indo-	VERB.Fin.Sing	<unknown>
ciganagôs	NOUN.Masc.Plur	<unknown>
,	PUNCT.Comma	,
