TI	PRON.Masc.Sing	tu
09	NUM	@card@
/ES	NOUN.Masc.Plur	<unknown>
.	PUNCT.Sent	.
Vida	NOUN.Fem.Sing	vida
Familiar	ADJ.Fem.Sing	familiar
e	CCONJ	e
Social	PROPN.Sing	Social
No	ADP_DET.Masc.Sing	em_o
documento	NOUN.Masc.Sing	documento
curricular	ADJ.Masc.Sing	curricular
do	ADP_DET.Masc.Sing	de_o
Espírito	PROPN.Masc.Sing	Espírito
Santo	PROPN.Sing	Santo
,	PUNCT.Comma	,
em	ADP	em
consonância	NOUN.Fem.Sing	consonância
com	ADP	com
a	DET.Fem.Sing	o
diversidade	NOUN.Fem.Sing	diversidade
de	ADP	de
formações	NOUN.Fem.Plur	formação
familiares	ADJ.Fem.Plur	familiar
presente	ADJ.Masc.Sing	presente
na	ADP_DET.Fem.Sing	em_o
atualidade	NOUN.Fem.Sing	atualidade
,	PUNCT.Comma	,
a	DET.Fem.Sing	o
Vida	PROPN.Fem.Sing	Vida
Familiar	ADJ.Fem.Sing	familiar
e	CCONJ	e
Social	PROPN.Sing	Social
é	AUX.Fin.Sing	ser
tema	NOUN.Masc.Sing	tema
integrador	ADJ.Masc.Sing	integrador
que	PRON.Rel.Masc.Sing	que
busca	VERB.Fin.Sing	buscar
compreender	VERB.Inf	compreender
a	DET.Fem.Sing	o
realidade	NOUN.Fem.Sing	realidade
social	ADJ.Fem.Sing	social
,	PUNCT.Comma	,
os	DET.Masc.Plur	o
direitos	NOUN.Masc.Plur	direito
e	CCONJ	e
responsabilidades	NOUN.Fem.Plur	responsabilidade
relacionados	VERB.Part.Masc.Plur	relacionar
com	ADP	com
a	DET.Fem.Sing	o
vida	NOUN.Fem.Sing	vida
pessoal	ADJ.Fem.Sing	pessoal
e	CCONJ	e
coletiva	ADJ.Fem.Sing	coletivo
e	CCONJ	e
com	ADP	com
a	DET.Fem.Sing	o
afirmação	NOUN.Fem.Sing	afirmação
do	ADP_DET.Masc.Sing	de_o
princípio	NOUN.Masc.Sing	princípio
da	ADP_DET.Fem.Sing	de_o
participação	NOUN.Fem.Sing	participação
política	ADJ.Fem.Sing	político
.	PUNCT.Sent	.
